85226,3.0,58,101,33.2621,-111.9353,0,Chandler,AZ,zip_2008:::85226
85228,2.3,5,146,32.9465,-111.5163,0,Coolidge,AZ,zip_2008:::85228
85231,2.5,5,174,32.6629,-111.5578,0,Eloy,AZ,zip_2008:::85231
85232,3.2,5,170,32.8369,-111.1940,0,Florence,AZ,zip_2008:::85232
85233,3.0,87,94,33.3522,-111.8111,0,Gilbert,AZ,zip_2008:::85233
85234,3.1,142,95,33.3646,-111.7393,0,Gilbert,AZ,zip_2008:::85234
85238,3.0,13,128,33.0203,-111.9496,0,Maricopa,AZ,zip_2008:::85238
85239,3.1,2,138,32.9183,-112.2037,0,Maricopa,AZ,zip_2008:::85239
85240,3.2,7,115,33.2676,-111.4769,0,QueenCreek,AZ,zip_2008:::85240
85242,3.1,69,114,33.2098,-111.6335,0,QueenCreek,AZ,zip_2008:::85242
85243,2.9,17,123,33.1669,-111.5095,0,QueenCreek,AZ,zip_2008:::85243
85247,3.5,7,114,33.1520,-111.9185,0,Sacaton,AZ,zip_2008:::85247
85248,2.8,45,106,33.2290,-111.8682,0,Chandler,AZ,zip_2008:::85248
85249,2.8,67,108,33.2259,-111.7883,0,Chandler,AZ,zip_2008:::85249
85250,3.2,34,73,33.5244,-111.9058,0,Scottsdale,AZ,zip_2008:::85250
85251,3.1,118,76,33.4946,-111.9209,0,Scottsdale,AZ,zip_2008:::85251
85253,2.8,31,70,33.5454,-111.9592,0,ParadiseValley,AZ,zip_2008:::85253
85254,3.0,77,63,33.6150,-111.9528,0,Scottsdale,AZ,zip_2008:::85254
85255,3.1,89,60,33.6766,-111.8121,0,Scottsdale,AZ,zip_2008:::85255
85256,3.4,2,77,33.5209,-111.8002,0,Scottsdale,AZ,zip_2008:::85256
85257,2.7,48,80,33.4646,-111.9164,0,Scottsdale,AZ,zip_2008:::85257
85258,3.2,49,69,33.5647,-111.8971,0,Scottsdale,AZ,zip_2008:::85258
85259,2.8,34,69,33.5892,-111.8079,0,Scottsdale,AZ,zip_2008:::85259
85260,3.4,93,65,33.6100,-111.8923,0,Scottsdale,AZ,zip_2008:::85260
85262,3.1,36,57,33.8487,-111.6153,0,Scottsdale,AZ,zip_2008:::85262
85263,3.6,3,60,33.7540,-111.6803,0,RioVerde,AZ,zip_2008:::85263
85264,2.8,2,91,33.5865,-111.4029,0,FortMcDowell,AZ,zip_2008:::85264
85266,3.4,42,48,33.7665,-111.9174,0,Scottsdale,AZ,zip_2008:::85266
85268,3.0,37,70,33.6069,-111.7398,0,FountainHills,AZ,zip_2008:::85268
85273,1.0,1,132,33.2696,-111.1688,0,Superior,AZ,zip_2008:::85273
85281,2.9,229,83,33.4280,-111.9326,0,Tempe,AZ,zip_2008:::85281
85282,3.0,138,87,33.3931,-111.9317,0,Tempe,AZ,zip_2008:::85282
85283,3.0,88,90,33.3638,-111.9316,0,Tempe,AZ,zip_2008:::85283
85284,3.0,33,93,33.3368,-111.9339,0,Tempe,AZ,zip_2008:::85284
85286,2.9,128,102,33.2713,-111.8277,0,Chandler,AZ,zip_2008:::85286
85294,2.7,1,147,32.8954,-111.6324,0,CasaGrande,AZ,zip_2008:::85294
85295,3.1,131,101,33.3066,-111.7382,0,Gilbert,AZ,zip_2008:::85295
85296,3.0,61,98,33.3364,-111.7426,0,Gilbert,AZ,zip_2008:::85296
85297,3.1,61,104,33.2787,-111.7334,0,Gilbert,AZ,zip_2008:::85297
85298,2.8,34,108,33.2436,-111.7192,0,Gilbert,AZ,zip_2008:::85298
85301,2.6,12,70,33.5331,-112.1799,0,Glendale,AZ,zip_2008:::85301
85302,2.5,10,67,33.5673,-112.1777,0,Glendale,AZ,zip_2008:::85302
85303,3.0,14,71,33.5307,-112.2205,0,Glendale,AZ,zip_2008:::85303
85304,2.4,11,64,33.5953,-112.1787,0,Glendale,AZ,zip_2008:::85304
85305,2.1,2,72,33.5303,-112.2551,0,Glendale,AZ,zip_2008:::85305
85306,3.0,5,60,33.6247,-112.1767,0,Glendale,AZ,zip_2008:::85306
85308,3.0,54,56,33.6609,-112.1817,0,Glendale,AZ,zip_2008:::85308
85309,2.7,2,74,33.5358,-112.3763,0,LukeAFB,AZ,zip_2008:::85309
85310,3.1,32,52,33.7031,-112.1743,0,Glendale,AZ,zip_2008:::85310
85313,2.0,1,62,33.6071,-112.1599,0,Glendale,AZ,zip_2008:::85313
85323,2.8,13,92,33.3585,-112.3306,0,Avondale,AZ,zip_2008:::85323
85324,3.8,42,24,34.0962,-111.8658,0,BlackCanyonCity,AZ,zip_2008:::85324
85326,2.6,11,128,33.2279,-112.9124,0,Buckeye,AZ,zip_2008:::85326
85331,3.3,103,40,33.8373,-111.9369,0,CaveCreek,AZ,zip_2008:::85331
85335,2.4,2,67,33.5872,-112.3301,0,ElMirage,AZ,zip_2008:::85335
85338,2.7,17,92,33.3771,-112.4058,0,Goodyear,AZ,zip_2008:::85338
85339,3.0,24,91,33.3510,-112.1893,0,Laveen,AZ,zip_2008:::85339
85340,2.5,16,77,33.5163,-112.4075,0,LitchfieldPark,AZ,zip_2008:::85340
85345,2.8,10,67,33.5714,-112.2490,0,Peoria,AZ,zip_2008:::85345
85351,2.0,1,64,33.6049,-112.2836,0,SunCity,AZ,zip_2008:::85351
85353,3.0,13,84,33.4169,-112.2729,0,Tolleson,AZ,zip_2008:::85353
